City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rosetta,31.4,30.42,73.4,73,0,8.05,EG,1592687901
Klaksvík,62.23,-6.59,53.6,93,47,13.87,FO,1592687902
São Filipe,14.9,-24.5,74.57,81,16,6.71,CV,1592687902
Bonavista,48.65,-53.11,43.74,72,76,10.51,CA,1592687902
Bar Harbor,44.39,-68.2,84.0,58,1,12.75,US,1592687902
Fukuechō,32.69,128.84,72.72,82,100,6.8,JP,1592687902
Lakes Entrance,-37.88,147.98,39.99,96,8,6.13,AU,1592687902
Santa Cruz de La Palma,28.68,-17.76,71.6,64,6,11.41,ES,1592687902
Pilar,-9.6,-35.96,78.8,74,40,10.29,BR,1592687802
Sinnamary,5.38,-52.95,80.28,86,69,9.46,GF,1592687903
Behbahān,30.6,50.24,84.2,20,0,4.7,IR,1592687903
Sidi Ali,36.1,0.42,74.07,46,0,6.71,DZ,1592687903
Ludvika,60.15,15.19,63.0,78,1,1.99,SE,1592687903
Oodweyne,9.41,45.06,76.03,54,34,12.57,SO,1592687903
Dhārchula,29.85,80.53,68.49,69,60,1.97,IN,1592687903
Shumskiy,54.83,99.13,52.81,89,66,1.81,RU,1592687903
Departamento de Maldonado,-34.67,-54.92,59.0,67,23,9.17,UY,1592687904
Campo Verde,-20.42,-54.07,84.2,37,0,8.05,BR,1592687904
Sakakah,29.97,40.21,80.6,30,0,13.87,SA,1592687904
Krasnosel'kup,65.7,82.47,44.22,87,100,13.8,RU,1592687904
Pospelikha,51.95,81.77,42.76,71,0,6.11,RU,1592687904
Shizunai-furukawachō,42.33,142.37,55.42,86,6,4.45,JP,1592687904
Soverato Marina,38.69,16.55,71.6,83,8,6.93,IT,1592687904
Saint-François,46.42,3.91,60.8,67,94,3.2,FR,1592687904
Samarai,-10.62,150.67,79.02,86,19,12.64,PG,1592687904
Bandarbeyla,9.49,50.81,79.97,73,100,28.99,SO,1592687905
Porto Velho,-8.76,-63.9,91.4,49,40,5.82,BR,1592687905
San Cristobal,7.77,-72.22,86.0,55,40,20.8,VE,1592687710
Matcha,54.63,42.35,62.22,95,51,12.15,RU,1592687905
Korla,41.76,86.15,72.82,22,3,14.85,CN,1592687905
Kupang,-10.17,123.58,75.83,83,7,11.79,ID,1592687905
Tromsø,69.65,18.96,51.8,57,0,4.7,NO,1592687905
Santo Domingo,18.5,-69.99,91.4,59,20,13.87,DO,1592687870
Bystřice pod Hostýnem,49.4,17.67,57.99,90,100,3.0,CZ,1592687905
Safi,32.3,-9.24,70.09,74,0,20.76,MA,1592687835
Rocha,-34.48,-54.33,52.57,87,2,6.46,UY,1592687906
Mt. Pleasant,32.79,-79.86,84.99,78,20,8.05,US,1592687706
Bengbu,32.94,117.36,68.02,95,48,3.67,CN,1592687906
Jalu,29.03,21.55,92.46,12,0,4.81,LY,1592687906
Wajir,1.75,40.06,77.92,59,45,20.65,KE,1592687906
Fort Nelson,58.81,-122.7,80.6,36,75,5.82,CA,1592687768
Labuhan,-6.88,112.21,76.48,86,53,8.86,ID,1592687906
Lorengau,-2.02,147.27,81.73,74,1,1.16,PG,1592687907
Yangi Marg`ilon,40.43,71.72,75.07,20,0,4.52,UZ,1592687907
Abalak,58.13,68.59,48.67,96,89,6.15,RU,1592687907
Deshnok,27.8,73.34,94.28,39,0,20.65,IN,1592687907
Marsh Harbour,26.54,-77.06,82.33,75,72,7.2,BS,1592687907
North Platte,41.12,-100.77,84.99,42,1,9.17,US,1592687641
Plouzané,48.38,-4.62,59.0,87,90,18.34,FR,1592687907
Marystown,47.17,-55.15,52.63,77,100,11.3,CA,1592687907
Kapoeta,4.77,33.59,75.4,77,45,5.61,SS,1592687907
Biak,-0.91,122.88,76.91,83,100,7.23,ID,1592687908
Houma,29.6,-90.72,91.99,58,1,9.17,US,1592687908
Opuwo,-18.06,13.84,52.9,50,0,5.91,NA,1592687908
Katete,-0.78,29.75,60.69,94,20,3.24,UG,1592687908
Bairiki Village,1.33,172.98,80.6,94,75,3.36,KI,1592687908
Yilan,24.76,121.75,84.0,83,20,4.7,TW,1592687908
Ginda,30.69,78.49,63.01,64,0,4.59,IN,1592687908
Osinki,52.84,49.51,62.58,72,0,0.96,RU,1592687908
Copiapó,-27.37,-70.33,59.0,77,40,13.87,CL,1592687647
Mthatha,-31.59,28.78,48.2,66,0,4.7,ZA,1592687909
Nhulunbuy,-12.23,136.77,75.34,69,0,14.23,AU,1592687909
Lucapa,-8.42,20.74,64.4,40,0,3.18,AO,1592687909
Carupano,10.67,-63.26,84.56,71,1,12.71,VE,1592687909
Flinders,-34.58,150.86,54.0,89,97,1.01,AU,1592687909
Winneba,5.35,-0.62,80.6,83,90,11.41,GH,1592687702
Novolugovoye,54.98,83.11,41.0,93,0,6.71,RU,1592687909
Paranapanema,-23.39,-48.72,67.3,68,0,3.78,BR,1592687909
Terrace,54.52,-128.6,64.4,72,75,17.22,CA,1592687886
Takoradze,4.88,-1.76,76.96,86,81,9.44,GH,1592687910
San Quintín,30.48,-115.95,68.09,63,0,14.47,MX,1592687910
Upata,8.01,-62.4,90.0,62,53,5.01,VE,1592687910
Shahrud,36.42,54.98,85.05,13,99,14.18,IR,1592687910
Praia da Vitória,38.73,-27.07,71.6,73,20,7.63,PT,1592687910
Urucará,-2.54,-57.76,80.73,84,100,3.8,BR,1592687910
Sivaki,52.63,126.75,54.88,98,96,9.4,RU,1592687911
Skibbereen,51.55,-9.27,57.2,93,75,17.22,IE,1592687911
Touros,-5.2,-35.46,78.8,78,20,8.05,BR,1592687911
Wencheng,33.06,113.8,68.7,88,91,1.99,CN,1592687911
Kharp,66.8,65.81,44.42,68,82,14.61,RU,1592687911
Merauke,-8.47,140.33,76.75,84,13,14.27,ID,1592687911
Bonthe,7.53,-12.51,77.81,81,44,4.74,SL,1592687911
Marion,39.77,-86.16,91.99,40,40,13.87,US,1592687812
Lékoni,-1.58,14.26,78.78,66,99,5.26,GA,1592687912
Saldanha,-33.01,17.94,57.2,93,46,9.17,ZA,1592687912
Husavik,66.04,-17.34,66.2,45,40,16.11,IS,1592687912
Vila Velha,-20.33,-40.29,77.0,78,0,12.75,BR,1592687912
Bilma,18.69,12.92,91.11,11,60,8.75,NE,1592687912
Bundaberg,-24.85,152.35,61.0,100,90,13.87,AU,1592687912
Port Hardy,50.7,-127.42,57.2,82,90,10.29,CA,1592687912
Buraidah,26.33,43.98,89.6,25,0,11.41,SA,1592687876
Shenkursk,62.11,42.9,43.38,87,26,5.73,RU,1592687912
Daru,-9.08,143.21,77.16,87,48,13.67,PG,1592687913
Bayjī,34.93,43.49,79.43,33,0,3.13,IQ,1592687913
Mackay,-21.15,149.2,60.8,93,90,8.05,AU,1592687913
Esim,4.87,-2.24,77.4,83,95,8.32,GH,1592687716
Marzuq,14.4,46.47,86.11,29,85,2.89,YE,1592687913
Makakilo City,21.35,-158.09,82.4,58,75,8.05,US,1592687913
Chunoyar,57.45,97.32,55.09,89,1,2.98,RU,1592687913
La Brea,15.8,-85.97,90.66,49,99,9.95,HN,1592687913
Jati,24.35,68.27,85.87,82,41,9.42,PK,1592687913
Dezhou,37.45,116.29,74.34,51,0,9.04,CN,1592687914
Klyuchi,52.27,79.17,45.36,59,0,3.89,RU,1592687914
Phan Thiet,10.93,108.1,77.65,87,100,6.13,VN,1592687914
Sur,22.57,59.53,85.62,66,55,15.93,OM,1592687914
Quryq,43.2,51.65,83.53,25,22,28.57,KZ,1592687914
Madera,37.17,-119.83,99.0,16,0,1.01,US,1592687914
Maragogi,-9.01,-35.22,76.28,80,0,12.19,BR,1592687914
Manacapuru,-3.3,-60.62,87.8,55,20,12.75,BR,1592687914
Beira,-19.84,34.84,64.4,93,0,3.36,MZ,1592687914
Włoszczowa,50.85,19.97,66.0,100,74,10.67,PL,1592687914
Fes,34.04,-5.0,75.2,57,0,10.29,MA,1592687915
Vestmannaeyjar,63.44,-20.27,51.49,87,96,24.54,IS,1592687915
Tevriz,57.51,72.4,53.15,73,100,10.67,RU,1592687915
Ulaanbaatar,47.91,106.88,60.8,67,75,2.24,MN,1592687915
Alghero,40.56,8.32,66.2,82,0,4.7,IT,1592687915
El Alto,-4.27,-81.21,68.92,74,9,14.52,PE,1592687915
Kāman,27.65,77.27,94.53,39,60,4.99,IN,1592687915
Pisz,53.63,21.81,65.61,90,100,5.97,PL,1592687915
Virtsu,58.57,23.51,61.0,79,31,11.99,EE,1592687916
Tyukhtet,56.54,89.3,44.65,95,100,4.52,RU,1592687916
Leninsk,48.71,45.2,78.8,34,97,11.18,RU,1592687916
Nome,64.5,-165.41,66.99,48,90,13.87,US,1592687916
Assiut,27.18,31.18,82.4,37,0,11.41,EG,1592687916
Unguía,8.04,-77.09,86.0,70,40,3.36,CO,1592687710
Wenzhou,28.0,120.67,76.86,84,100,1.3,CN,1592687916
Ţahţā,26.77,31.5,87.8,25,0,13.87,EG,1592687916
Mount Gambier,-37.83,140.77,44.6,100,90,2.19,AU,1592687916
Mae Sai,20.43,99.88,78.8,94,40,4.7,TH,1592687917
Province of Mantua,45.17,10.78,69.01,74,0,1.01,IT,1592687917
Niksar,40.59,36.95,60.35,75,25,3.87,TR,1592687917
Mugur-Aksy,50.35,90.5,44.92,68,72,3.29,RU,1592687917
Porto-Novo,6.5,2.6,75.2,88,40,2.24,BJ,1592687917
Luziânia,-16.25,-47.95,78.8,39,51,9.17,BR,1592687917
Bealanana,-14.55,48.73,61.29,93,80,4.94,MG,1592687917
Emba,48.83,58.14,66.18,25,0,9.48,KZ,1592687917
College,64.86,-147.8,71.6,49,75,5.82,US,1592687917
Aykhal,66.0,111.5,60.8,63,75,4.47,RU,1592687917
Hervey Bay,-25.3,152.85,60.01,93,55,4.0,AU,1592687918
Tutóia,-2.76,-42.27,79.65,84,1,6.62,BR,1592687918
Ihosy,-22.4,46.12,58.17,92,100,8.14,MG,1592687918
Auki,-8.77,160.7,79.36,83,100,4.25,SB,1592687918
Itoman,26.12,127.67,82.4,88,75,13.87,JP,1592687918
Batī,11.18,40.02,77.0,40,59,7.18,ET,1592687918
Kyshtovka,56.55,76.63,43.9,85,27,10.92,RU,1592687918
Erdenet,49.03,104.08,51.67,91,100,6.93,MN,1592687918
Erenhot,43.65,111.98,79.61,25,6,14.88,CN,1592687919
Sergeevka,53.88,67.42,62.24,48,91,11.63,KZ,1592687919
Krasnyy Chikoy,50.36,108.75,52.27,81,100,2.28,RU,1592687919
Xiongyue,40.18,122.12,68.7,80,0,9.48,CN,1592687919
Omboué,-1.57,9.26,74.32,90,98,9.13,GA,1592687919
Somotillo,13.04,-86.91,93.2,44,40,4.7,NI,1592687919
Palu,-0.89,119.87,74.95,81,70,3.04,ID,1592687919
Yola,9.2,12.48,78.21,79,13,4.74,NG,1592687919
Orlik,52.52,99.83,48.47,80,100,1.3,RU,1592687920
Port Augusta,-32.5,137.77,51.8,81,31,12.75,AU,1592687920
Egvekinot,66.32,-179.17,54.05,42,14,2.95,RU,1592687920
Kysyl-Syr,63.9,122.76,69.06,59,2,2.77,RU,1592687920
Vila,42.03,-8.16,64.99,82,75,1.12,PT,1592687920
Charters Towers,-20.1,146.27,62.73,86,100,6.73,AU,1592687920
Kidal,18.44,1.41,94.35,10,8,8.61,ML,1592687921
Springbok,-29.66,17.89,48.29,79,0,3.24,ZA,1592687921
Faanui,-16.48,-151.75,79.75,80,29,11.18,PF,1592687921
Matsuura,33.33,129.72,71.01,90,100,5.77,JP,1592687921
Hualmay,-11.1,-77.61,66.13,73,12,7.92,PE,1592687921
Sheopur,25.67,76.7,90.95,46,44,8.66,IN,1592687921
